state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
25,021,422400,5,Weymouth Town,250214224005,3118,1541,55,103,52,81,60,59,39,18,52,73,93,226,83,141,44,46,30,20,71,61,80,16,38,1577,51,29,138,68,0,0,0,37,112,87,77,116,64,107,107,62,58,65,32,144,51,64,108
25,009,254100,2,Andover,250092541002,1089,446,38,0,0,36,0,0,0,0,37,51,0,50,25,103,16,0,17,0,38,21,14,0,0,643,25,87,25,66,0,0,0,0,17,50,30,70,68,66,0,17,33,0,37,36,0,0,16
25,021,417902,3,Quincy,250214179023,1058,504,64,5,39,44,15,0,0,15,43,60,45,15,20,36,19,32,10,12,9,0,0,0,21,554,14,50,67,7,0,12,21,18,45,53,27,82,50,33,0,0,21,33,0,0,10,11,0
25,009,265101,2,Boxford,250092651012,1046,502,26,42,74,13,0,10,19,8,18,82,31,11,31,35,28,0,7,0,0,45,22,0,0,544,106,0,24,0,0,22,0,11,74,18,51,10,53,22,41,15,6,0,0,91,0,0,0
25,023,501102,1,Hingham,250235011021,1380,587,31,97,34,23,26,0,0,25,0,20,53,56,35,38,23,20,17,13,29,47,0,0,0,793,20,90,66,36,0,24,31,28,23,0,92,17,47,40,70,53,51,0,33,30,18,0,24
25,009,206400,2,Lynn,250092064002,1985,1037,157,55,0,41,12,0,13,48,8,48,257,30,98,73,44,17,16,23,13,65,6,13,0,948,29,52,44,53,0,0,29,51,48,132,78,30,65,112,98,33,9,10,14,25,10,13,13
25,023,506204,1,Ocean Bluff-Brant Rock,250235062041,1968,835,0,30,10,20,31,44,48,16,25,0,62,66,61,10,96,13,89,43,37,66,30,38,0,1133,69,80,37,9,64,0,63,51,80,0,79,33,54,70,63,57,12,15,78,117,102,0,0
25,023,500101,1,Hull,250235001011,1567,726,37,85,41,30,12,7,0,31,9,39,18,64,83,26,59,60,36,36,28,7,9,0,9,841,11,23,9,0,9,0,0,52,21,25,52,83,91,41,67,76,54,19,58,33,9,85,23
25,001,012602,2,Barnstable Town,250010126022,1232,648,32,46,33,0,0,2,0,21,160,125,2,0,72,25,19,18,0,18,0,15,22,19,19,584,43,18,0,17,2,27,75,0,80,1,20,36,52,34,26,14,35,0,38,13,0,34,19
25,005,613800,2,Taunton,250056138002,2691,1094,33,76,86,40,6,0,22,54,71,204,7,69,110,152,45,0,34,0,0,10,0,41,34,1597,239,176,94,60,0,48,7,88,54,187,35,38,117,88,51,24,79,39,0,69,44,15,45
